OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,FunctionalPurpose,UsageCategory,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,CompletionStatus,InternalRecipeID,ProductionSteps,NOT_USED
ship-component-power-core-cmd-t4,Power Core CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core CMD T3,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,,,,,,,complete,,10,FALSE
ship-component-power-core-cmd-t5,Power Core CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,,,,Power Core CMD T4,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,,,,,,,complete,,11,FALSE
ship-component-power-core-l-t1,Power Core L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,,,complete,,6,FALSE
ship-component-power-core-l-t2,Power Core L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Core L T1,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,7,FALSE
ship-component-power-core-l-t3,Power Core L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Power Core L T2,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,8,FALSE
ship-component-power-core-l-t4,Power Core L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core L T3,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,9,FALSE
ship-component-power-core-l-t5,Power Core L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,,,,Power Core L T4,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,10,FALSE
ship-component-power-core-m-t1,Power Core M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,,,complete,,6,FALSE
ship-component-power-core-m-t2,Power Core M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Core M T1,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,7,FALSE
ship-component-power-core-m-t3,Power Core M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Power Core M T2,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,8,FALSE
ship-component-power-core-m-t4,Power Core M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core M T3,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,9,FALSE
ship-component-power-core-m-t5,Power Core M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,,,,Power Core M T4,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,,,,,,,,,complete,,10,FALSE
ship-component-power-core-s-t1,Power Core S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,,,complete,,5,FALSE
ship-component-power-core-s-t2,Power Core S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Core S T1,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,6,FALSE
ship-component-power-core-s-t3,Power Core S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Power Core S T2,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,7,FALSE
ship-component-power-core-s-t4,Power Core S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core S T3,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,8,FALSE
ship-component-power-core-s-t5,Power Core S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,,,,Power Core S T4,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,9,FALSE
ship-component-power-core-ttn-t1,Power Core TTN T1,SHIP_COMPONENTS,1,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,Titan Energy Network,1,,,,,,,complete,,8,FALSE
ship-component-power-core-ttn-t2,Power Core TTN T2,SHIP_COMPONENTS,2,1200,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Core TTN T1,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,Titan Energy Network,1,,,,,complete,,9,FALSE
ship-component-power-core-ttn-t3,Power Core TTN T3,SHIP_COMPONENTS,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Power Core TTN T2,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,Titan Energy Network,1,,,,,complete,,10,FALSE
ship-component-power-core-ttn-t4,Power Core TTN T4,SHIP_COMPONENTS,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core TTN T3,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,Titan Energy Network,1,,,,,complete,,11,FALSE
ship-component-power-core-ttn-t5,Power Core TTN T5,SHIP_COMPONENTS,5,12000,Volcanic Planet;Ice Planet,USTUR,,,,Power Core TTN T4,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,Energy Coordination System,1,Advanced Power Grid,1,Titan Energy Network,1,,,,,complete,,12,FALSE
ship-component-power-core-xs-t1,Power Core XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,,,complete,,5,FALSE
ship-component-power-core-xs-t2,Power Core XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Core XS T1,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,6,FALSE
ship-component-power-core-xs-t3,Power Core XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Power Core XS T2,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,7,FALSE
ship-component-power-core-xs-t4,Power Core XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core XS T3,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,8,FALSE
ship-component-power-core-xs-t5,Power Core XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,,,,Power Core XS T4,1,Power Generator,1,Energy Regulator,1,Power Distribution Network,1,,,,,,,,,,,complete,,9,FALSE
ship-component-power-core-xxs-t1,Power Core XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Generator,1,Energy Regulator,1,,,,,,,,,,,,,,,complete,,5,FALSE
ship-component-power-core-xxs-t2,Power Core XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Power Core XXS T1,1,Power Generator,1,Energy Regulator,1,,,,,,,,,,,,,complete,,6,FALSE
ship-component-power-core-xxs-t3,Power Core XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Power Core XXS T2,1,Power Generator,1,Energy Regulator,1,,,,,,,,,,,,,complete,,7,FALSE
ship-component-power-core-xxs-t4,Power Core XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Power Core XXS T3,1,Power Generator,1,Energy Regulator,1,,,,,,,,,,,,,complete,,8,FALSE
ship-component-power-core-xxs-t5,Power Core XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,,,,Power Core XXS T4,1,Power Generator,1,Energy Regulator,1,,,,,,,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-cap-t1,Refuel Rig CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-cap-t2,Refuel Rig CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig CAP T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-cap-t3,Refuel Rig CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig CAP T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-cap-t4,Refuel Rig CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig CAP T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,10,FALSE
ship-component-refuel-rig-cap-t5,Refuel Rig CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig CAP T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,11,FALSE
ship-component-refuel-rig-class8-t1,Refuel Rig CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,Titan Utility Core,1,,,,,complete,,8,FALSE
ship-component-refuel-rig-class8-t2,Refuel Rig CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig CLASS8 T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,9,FALSE
ship-component-refuel-rig-class8-t3,Refuel Rig CLASS8 T3,SHIP_COMPONENTS,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig CLASS8 T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,10,FALSE
ship-component-refuel-rig-class8-t4,Refuel Rig CLASS8 T4,SHIP_COMPONENTS,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig CLASS8 T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,11,FALSE
ship-component-refuel-rig-class8-t5,Refuel Rig CLASS8 T5,SHIP_COMPONENTS,5,10800,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig CLASS8 T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,12,FALSE
ship-component-refuel-rig-cmd-t1,Refuel Rig CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-cmd-t2,Refuel Rig CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig CMD T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-cmd-t3,Refuel Rig CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig CMD T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-cmd-t4,Refuel Rig CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig CMD T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,10,FALSE
ship-component-refuel-rig-cmd-t5,Refuel Rig CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig CMD T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,,,,,,,complete,,11,FALSE
ship-component-refuel-rig-l-t1,Refuel Rig L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,,,complete,,6,FALSE
ship-component-refuel-rig-l-t2,Refuel Rig L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig L T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-l-t3,Refuel Rig L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig L T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-l-t4,Refuel Rig L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig L T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-l-t5,Refuel Rig L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig L T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,10,FALSE
ship-component-refuel-rig-m-t1,Refuel Rig M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,,,complete,,6,FALSE
ship-component-refuel-rig-m-t2,Refuel Rig M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig M T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-m-t3,Refuel Rig M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig M T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-m-t4,Refuel Rig M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig M T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-m-t5,Refuel Rig M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig M T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,,,,,,,,,complete,,10,FALSE
ship-component-refuel-rig-s-t1,Refuel Rig S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,,,complete,,6,FALSE
ship-component-refuel-rig-s-t2,Refuel Rig S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig S T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-s-t3,Refuel Rig S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig S T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-s-t4,Refuel Rig S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig S T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-s-t5,Refuel Rig S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig S T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,10,FALSE
ship-component-refuel-rig-ttn-t1,Refuel Rig TTN T1,SHIP_COMPONENTS,1,600,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-ttn-t2,Refuel Rig TTN T2,SHIP_COMPONENTS,2,1200,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig TTN T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,9,FALSE
ship-component-refuel-rig-ttn-t3,Refuel Rig TTN T3,SHIP_COMPONENTS,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig TTN T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,10,FALSE
ship-component-refuel-rig-ttn-t4,Refuel Rig TTN T4,SHIP_COMPONENTS,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig TTN T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,11,FALSE
ship-component-refuel-rig-ttn-t5,Refuel Rig TTN T5,SHIP_COMPONENTS,5,12000,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig TTN T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,Utility Scaling Framework,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,12,FALSE
ship-component-refuel-rig-xs-t1,Refuel Rig XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,,,complete,,6,FALSE
ship-component-refuel-rig-xs-t2,Refuel Rig XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig XS T1,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-xs-t3,Refuel Rig XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig XS T2,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-xs-t4,Refuel Rig XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig XS T3,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-xs-t5,Refuel Rig XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig XS T4,1,Fuel Transfer System,1,Utility Controller,1,Connection Assembly,1,,,,,,,,,,,complete,,10,FALSE
ship-component-refuel-rig-xxs-t1,Refuel Rig XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,,,,Fuel Transfer System,1,Utility Controller,1,,,,,,,,,,,,,,,complete,,6,FALSE
ship-component-refuel-rig-xxs-t2,Refuel Rig XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,,,,Refuel Rig XXS T1,1,Fuel Transfer System,1,Utility Controller,1,,,,,,,,,,,,,complete,,7,FALSE
ship-component-refuel-rig-xxs-t3,Refuel Rig XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Refuel Rig XXS T2,1,Fuel Transfer System,1,Utility Controller,1,,,,,,,,,,,,,complete,,8,FALSE
ship-component-refuel-rig-xxs-t4,Refuel Rig XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Refuel Rig XXS T3,1,Fuel Transfer System,1,Utility Controller,1,,,,,,,,,,,,,complete,,9,FALSE
ship-component-refuel-rig-xxs-t5,Refuel Rig XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,,,,Refuel Rig XXS T4,1,Fuel Transfer System,1,Utility Controller,1,,,,,,,,,,,,,complete,,10,FALSE
ship-component-repair-rig-cap-t1,Repair Rig CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,,,,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,,,complete,,7,FALSE
ship-component-repair-rig-cap-t2,Repair Rig CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,,,,Repair Rig CAP T1,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,8,FALSE
ship-component-repair-rig-cap-t3,Repair Rig CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Repair Rig CAP T2,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,9,FALSE
ship-component-repair-rig-cap-t4,Repair Rig CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Repair Rig CAP T3,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,10,FALSE
ship-component-repair-rig-cap-t5,Repair Rig CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,,,,Repair Rig CAP T4,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,11,FALSE
ship-component-repair-rig-class8-t1,Repair Rig CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,,,,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,Titan Utility Core,1,Titan Utility Core,1,,,,,complete,,8,FALSE
ship-component-repair-rig-class8-t2,Repair Rig CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,,,,Repair Rig CLASS8 T1,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,9,FALSE
ship-component-repair-rig-class8-t3,Repair Rig CLASS8 T3,SHIP_COMPONENTS,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Repair Rig CLASS8 T2,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,10,FALSE
ship-component-repair-rig-class8-t4,Repair Rig CLASS8 T4,SHIP_COMPONENTS,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Repair Rig CLASS8 T3,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,11,FALSE
ship-component-repair-rig-class8-t5,Repair Rig CLASS8 T5,SHIP_COMPONENTS,5,10800,Volcanic Planet;Ice Planet,USTUR,,,,Repair Rig CLASS8 T4,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,Titan Utility Core,1,,,,,complete,,12,FALSE
ship-component-repair-rig-cmd-t1,Repair Rig CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,,,,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,,,complete,,7,FALSE
ship-component-repair-rig-cmd-t2,Repair Rig CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,,,,Repair Rig CMD T1,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,8,FALSE
ship-component-repair-rig-cmd-t3,Repair Rig CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,,,,Repair Rig CMD T2,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,9,FALSE
ship-component-repair-rig-cmd-t4,Repair Rig CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,,,,Repair Rig CMD T3,1,Repair Nanobots,1,Utility Controller,1,Diagnostic Suite,1,Multi-System Coordinator,1,Service Coordination Hub,1,,,,,,,complete,,10,FALSE
