OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ProductionSteps,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9
ship-component-missile-bay-xs-t1,Missile Bay XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,5,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,
ship-component-missile-bay-xs-t2,Missile Bay XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,6,Missile Bay XS T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-xs-t3,Missile Bay XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Missile Bay XS T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-xs-t4,Missile Bay XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,8,Missile Bay XS T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-xs-t5,Missile Bay XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,9,Missile Bay XS T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-s-t1,Missile Bay S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,5,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,
ship-component-missile-bay-s-t2,Missile Bay S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,6,Missile Bay S T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-s-t3,Missile Bay S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Missile Bay S T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-s-t4,Missile Bay S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,8,Missile Bay S T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-s-t5,Missile Bay S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,9,Missile Bay S T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-missile-bay-m-t1,Missile Bay M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,6,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,,,
ship-component-missile-bay-m-t2,Missile Bay M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,7,Missile Bay M T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-m-t3,Missile Bay M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,8,Missile Bay M T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-m-t4,Missile Bay M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,9,Missile Bay M T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-m-t5,Missile Bay M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,10,Missile Bay M T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-l-t1,Missile Bay L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,6,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,,,
ship-component-missile-bay-l-t2,Missile Bay L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,7,Missile Bay L T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-l-t3,Missile Bay L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,8,Missile Bay L T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-l-t4,Missile Bay L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,9,Missile Bay L T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-l-t5,Missile Bay L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,10,Missile Bay L T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,,,,,,,,
ship-component-missile-bay-cap-t1,Missile Bay CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,8,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,,,
ship-component-missile-bay-cap-t2,Missile Bay CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,9,Missile Bay CAP T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cap-t3,Missile Bay CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,10,Missile Bay CAP T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cap-t4,Missile Bay CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,11,Missile Bay CAP T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cap-t5,Missile Bay CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,12,Missile Bay CAP T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cmd-t1,Missile Bay CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,8,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,,,
ship-component-missile-bay-cmd-t2,Missile Bay CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,9,Missile Bay CMD T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cmd-t3,Missile Bay CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,10,Missile Bay CMD T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cmd-t4,Missile Bay CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,11,Missile Bay CMD T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-cmd-t5,Missile Bay CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,12,Missile Bay CMD T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,,,,,,
ship-component-missile-bay-class8-t1,Missile Bay CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,10,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,,,
ship-component-missile-bay-class8-t2,Missile Bay CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,11,Missile Bay CLASS8 T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-class8-t3,Missile Bay CLASS8 T3,SHIP_COMPONENTS,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,12,Missile Bay CLASS8 T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-class8-t4,Missile Bay CLASS8 T4,SHIP_COMPONENTS,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,13,Missile Bay CLASS8 T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-class8-t5,Missile Bay CLASS8 T5,SHIP_COMPONENTS,5,10800,Volcanic Planet;Ice Planet,USTUR,14,Missile Bay CLASS8 T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-ttn-t1,Missile Bay TTN T1,SHIP_COMPONENTS,1,600,Terrestrial Planet,MUD;ONI;USTUR,10,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,,,
ship-component-missile-bay-ttn-t2,Missile Bay TTN T2,SHIP_COMPONENTS,2,1200,Terrestrial Planet,MUD;ONI;USTUR,11,Missile Bay TTN T1,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-ttn-t3,Missile Bay TTN T3,SHIP_COMPONENTS,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,12,Missile Bay TTN T2,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-ttn-t4,Missile Bay TTN T4,SHIP_COMPONENTS,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,13,Missile Bay TTN T3,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-missile-bay-ttn-t5,Missile Bay TTN T5,SHIP_COMPONENTS,5,12000,Volcanic Planet;Ice Planet,USTUR,14,Missile Bay TTN T4,1,Missile Guidance Core,1,Launch Mechanism,1,Weapon Housing,1,Storage Management System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-xxs-t1,Drone Port XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,5,Drone Controller,1,Launch Mechanism,1,,,,,,,,,,,,,,
ship-component-drone-port-xxs-t2,Drone Port XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,6,Drone Port XXS T1,1,Drone Controller,1,Launch Mechanism,1,,,,,,,,,,,,
ship-component-drone-port-xxs-t3,Drone Port XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Drone Port XXS T2,1,Drone Controller,1,Launch Mechanism,1,,,,,,,,,,,,
ship-component-drone-port-xxs-t4,Drone Port XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,8,Drone Port XXS T3,1,Drone Controller,1,Launch Mechanism,1,,,,,,,,,,,,
ship-component-drone-port-xxs-t5,Drone Port XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,9,Drone Port XXS T4,1,Drone Controller,1,Launch Mechanism,1,,,,,,,,,,,,
ship-component-drone-port-xs-t1,Drone Port XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,5,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,
ship-component-drone-port-xs-t2,Drone Port XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,6,Drone Port XS T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-xs-t3,Drone Port XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Drone Port XS T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-xs-t4,Drone Port XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,8,Drone Port XS T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-xs-t5,Drone Port XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,9,Drone Port XS T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-s-t1,Drone Port S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,5,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,,,
ship-component-drone-port-s-t2,Drone Port S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,6,Drone Port S T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-s-t3,Drone Port S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Drone Port S T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-s-t4,Drone Port S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,8,Drone Port S T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-s-t5,Drone Port S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,9,Drone Port S T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,,,,,,,,,,
ship-component-drone-port-m-t1,Drone Port M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,5,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,,,
ship-component-drone-port-m-t2,Drone Port M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,6,Drone Port M T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-m-t3,Drone Port M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Drone Port M T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-m-t4,Drone Port M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,8,Drone Port M T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-m-t5,Drone Port M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,9,Drone Port M T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-l-t1,Drone Port L T1,SHIP_COMPONENTS,1,360,Terrestrial Planet,MUD;ONI;USTUR,5,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,,,
ship-component-drone-port-l-t2,Drone Port L T2,SHIP_COMPONENTS,2,720,Terrestrial Planet,MUD;ONI;USTUR,6,Drone Port L T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-l-t3,Drone Port L T3,SHIP_COMPONENTS,3,1800,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,7,Drone Port L T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-l-t4,Drone Port L T4,SHIP_COMPONENTS,4,3600,Volcanic Planet;Ice Planet,MUD;USTUR,8,Drone Port L T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-l-t5,Drone Port L T5,SHIP_COMPONENTS,5,7200,Volcanic Planet;Ice Planet,USTUR,9,Drone Port L T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,,,,,,,,
ship-component-drone-port-cap-t1,Drone Port CAP T1,SHIP_COMPONENTS,1,420,Terrestrial Planet,MUD;ONI;USTUR,8,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,,,
ship-component-drone-port-cap-t2,Drone Port CAP T2,SHIP_COMPONENTS,2,840,Terrestrial Planet,MUD;ONI;USTUR,9,Drone Port CAP T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cap-t3,Drone Port CAP T3,SHIP_COMPONENTS,3,2100,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,10,Drone Port CAP T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cap-t4,Drone Port CAP T4,SHIP_COMPONENTS,4,4200,Volcanic Planet;Ice Planet,MUD;USTUR,11,Drone Port CAP T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cap-t5,Drone Port CAP T5,SHIP_COMPONENTS,5,8400,Volcanic Planet;Ice Planet,USTUR,12,Drone Port CAP T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cmd-t1,Drone Port CMD T1,SHIP_COMPONENTS,1,480,Terrestrial Planet,MUD;ONI;USTUR,8,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,,,
ship-component-drone-port-cmd-t2,Drone Port CMD T2,SHIP_COMPONENTS,2,960,Terrestrial Planet,MUD;ONI;USTUR,9,Drone Port CMD T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cmd-t3,Drone Port CMD T3,SHIP_COMPONENTS,3,2400,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,10,Drone Port CMD T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cmd-t4,Drone Port CMD T4,SHIP_COMPONENTS,4,4800,Volcanic Planet;Ice Planet,MUD;USTUR,11,Drone Port CMD T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-cmd-t5,Drone Port CMD T5,SHIP_COMPONENTS,5,9600,Volcanic Planet;Ice Planet,USTUR,12,Drone Port CMD T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,,,,,,
ship-component-drone-port-class8-t1,Drone Port CLASS8 T1,SHIP_COMPONENTS,1,540,Terrestrial Planet,MUD;ONI;USTUR,10,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,,,
ship-component-drone-port-class8-t2,Drone Port CLASS8 T2,SHIP_COMPONENTS,2,1080,Terrestrial Planet,MUD;ONI;USTUR,11,Drone Port CLASS8 T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-class8-t3,Drone Port CLASS8 T3,SHIP_COMPONENTS,3,2700,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,12,Drone Port CLASS8 T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-class8-t4,Drone Port CLASS8 T4,SHIP_COMPONENTS,4,5400,Volcanic Planet;Ice Planet,MUD;USTUR,13,Drone Port CLASS8 T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-class8-t5,Drone Port CLASS8 T5,SHIP_COMPONENTS,5,10800,Volcanic Planet;Ice Planet,USTUR,14,Drone Port CLASS8 T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-ttn-t1,Drone Port TTN T1,SHIP_COMPONENTS,1,600,Terrestrial Planet,MUD;ONI;USTUR,10,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,,,
ship-component-drone-port-ttn-t2,Drone Port TTN T2,SHIP_COMPONENTS,2,1200,Terrestrial Planet,MUD;ONI;USTUR,11,Drone Port TTN T1,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-ttn-t3,Drone Port TTN T3,SHIP_COMPONENTS,3,3000,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,12,Drone Port TTN T2,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-ttn-t4,Drone Port TTN T4,SHIP_COMPONENTS,4,6000,Volcanic Planet;Ice Planet,MUD;USTUR,13,Drone Port TTN T3,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ship-component-drone-port-ttn-t5,Drone Port TTN T5,SHIP_COMPONENTS,5,12000,Volcanic Planet;Ice Planet,USTUR,14,Drone Port TTN T4,1,Drone Controller,1,Launch Mechanism,1,Weapon Housing,1,Deployment Control System,1,Launch Coordination Matrix,1,Titan Launch Platform,1,,,,
ammo-xxs-t1,Ammo XXS T1,SHIP_MODULES,1,120,Terrestrial Planet,MUD;ONI;USTUR,4,Cargo Container,1,Ammo Feed System,1,,,,,,,,,,,,,,
ammo-xxs-t2,Ammo XXS T2,SHIP_MODULES,2,240,Terrestrial Planet,MUD;ONI;USTUR,5,Ammo XXS T1,1,Cargo Container,1,Ammo Feed System,1,,,,,,,,,,,,
ammo-xxs-t3,Ammo XXS T3,SHIP_MODULES,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,6,Ammo XXS T2,1,Cargo Container,1,Ammo Feed System,1,,,,,,,,,,,,
ammo-xxs-t4,Ammo XXS T4,SHIP_MODULES,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,7,Ammo XXS T3,1,Cargo Container,1,Ammo Feed System,1,,,,,,,,,,,,
ammo-xxs-t5,Ammo XXS T5,SHIP_MODULES,5,2400,Volcanic Planet;Ice Planet,USTUR,8,Ammo XXS T4,1,Cargo Container,1,Ammo Feed System,1,,,,,,,,,,,,
ammo-xs-t1,Ammo XS T1,SHIP_MODULES,1,180,Terrestrial Planet,MUD;ONI;USTUR,4,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,,,
ammo-xs-t2,Ammo XS T2,SHIP_MODULES,2,360,Terrestrial Planet,MUD;ONI;USTUR,5,Ammo XS T1,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-xs-t3,Ammo XS T3,SHIP_MODULES,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,6,Ammo XS T2,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-xs-t4,Ammo XS T4,SHIP_MODULES,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,7,Ammo XS T3,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-xs-t5,Ammo XS T5,SHIP_MODULES,5,3600,Volcanic Planet;Ice Planet,USTUR,8,Ammo XS T4,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-s-t1,Ammo S T1,SHIP_MODULES,1,240,Terrestrial Planet,MUD;ONI;USTUR,4,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,,,
ammo-s-t2,Ammo S T2,SHIP_MODULES,2,480,Terrestrial Planet,MUD;ONI;USTUR,5,Ammo S T1,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-s-t3,Ammo S T3,SHIP_MODULES,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,6,Ammo S T2,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-s-t4,Ammo S T4,SHIP_MODULES,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,7,Ammo S T3,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-s-t5,Ammo S T5,SHIP_MODULES,5,4800,Volcanic Planet;Ice Planet,USTUR,8,Ammo S T4,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,,,,,,,,,,
ammo-m-t1,Ammo M T1,SHIP_MODULES,1,300,Terrestrial Planet,MUD;ONI;USTUR,6,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,Ammunition Control Matrix,1,,,,,,,,,,
ammo-m-t2,Ammo M T2,SHIP_MODULES,2,600,Terrestrial Planet,MUD;ONI;USTUR,7,Ammo M T1,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,Ammunition Control Matrix,1,,,,,,,,
ammo-m-t3,Ammo M T3,SHIP_MODULES,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,8,Ammo M T2,1,Cargo Container,1,Ammo Feed System,1,Safety Interlock,1,Ammunition Control Matrix,1,,,,,,,,
